time_wall,time_perf,arrival_perf,rel_time,can_id,dlc,data
1778594555.189806,1867118.881514,1867118.880961,23.694198,0x1ED,3,01 FF 2B
1778594555.189831,1867118.881540,1867118.880963,23.694224,0x1AB,3,00 82 35
1778594555.189890,1867118.881599,1867118.880965,23.694283,0x91,8,98 33 88 8E 08 00 00 36
1778594555.189939,1867118.881647,1867118.880967,23.694331,0x1A6,8,00 00 40 15 B8 01 00 27
1778594555.189968,1867118.881676,1867118.880969,23.694360,0x1A4,8,00 66 00 00 00 00 00 3A
1778594555.190028,1867118.881736,1867118.880970,23.694421,0x1B0,7,80 1F 00 00 00 01 30
1778594555.190082,1867118.881790,1867118.880972,23.694475,0x1D0,8,09 1C 0F 1C 22 D0 38 0C
1778594555.190133,1867118.881841,1867118.880973,23.694526,0x1EA,8,00 00 00 C3 00 00 00 3D
1778594555.190184,1867118.881892,1867118.880975,23.694576,0x1AC,8,7F FF 00 00 00 00 00 3A
1778594555.190239,1867118.881947,1867118.880977,23.694631,0x255,8,0B 09 0B 09 55 55 D5 59
1778594555.190329,1867118.882037,1867118.880978,23.694721,0x406,5,00 00 00 03 38
1778594555.190364,1867118.882072,1867118.880980,23.694757,0x1FB,1,2B
1778594555.190407,1867118.882115,1867118.880982,23.694799,0x130,8,00 D6 00 BE 11 00 04 11
1778594555.190561,1867118.882269,1867118.880990,23.694953,0x305,7,80 14 00 00 00 00 03
1778594555.190749,1867118.882458,1867118.881009,23.695142,0x294,8,00 16 01 00 2A 44 00 0D
1778594555.190794,1867118.882502,1867118.881013,23.695186,0x295,4,00 00 00 08
1778594555.190830,1867118.882538,1867118.881015,23.695222,0x221,4,21 00 00 00
1778594555.190897,1867118.882605,1867118.881021,23.695289,0x39,3,00 00 39
1778594555.191051,1867118.882759,1867118.881043,23.695443,0x320,8,00 00 00 00 00 00 00 03
1778594555.191079,1867118.882787,1867118.881045,23.695471,0x324,8,7E 71 42 6F 00 0C 80 03
1778594555.191141,1867118.882849,1867118.881046,23.695533,0x328,8,00 00 00 00 00 80 00 7C
1778594555.191175,1867118.882883,1867118.881048,23.695567,0x3D7,8,B0 00 00 00 00 00 00 60
1778594555.191506,1867118.883214,1867118.881092,23.695899,0x309,8,00 00 00 00 04 71 00 6A
1778594555.191586,1867118.883294,1867118.881096,23.695978,0x372,2,20 28
1778594555.366631,1867119.058339,1867119.058137,23.871023,0x130,8,00 CD 00 BE 11 00 04 2A
1778594555.366721,1867119.058429,1867119.058149,23.871114,0x156,6,0C 8E 00 00 07 21
1778594555.366779,1867119.058487,1867119.058151,23.871171,0x158,8,04 4D 00 00 04 41 19 20
1778594555.366839,1867119.058547,1867119.058152,23.871231,0x17C,8,11 00 04 EC 80 00 00 2A
1778594555.366911,1867119.058619,1867119.058154,23.871303,0x191,8,08 00 80 86 8A 04 7F 21
1778594555.366990,1867119.058698,1867119.058156,23.871382,0x1DC,7,02 04 EC 00 00 00 3B
1778594555.367017,1867119.058725,1867119.058157,23.871409,0x1ED,3,01 FF 3A
1778594555.367042,1867119.058750,1867119.058159,23.871434,0x1AB,3,00 61 0B
1778594555.367096,1867119.058804,1867119.058160,23.871488,0x91,8,99 73 88 82 0A 00 00 1D
1778594555.367143,1867119.058852,1867119.058162,23.871536,0x1A4,8,00 67 00 00 00 00 00 0C
1778594555.367204,1867119.058912,1867119.058163,23.871596,0x1B0,7,80 1F 00 00 00 01 03
1778594555.367260,1867119.058967,1867119.058165,23.871652,0x1D0,8,09 78 0F 6C 23 08 39 26
1778594555.367323,1867119.059032,1867119.058166,23.871716,0x1A6,8,00 00 40 14 B8 01 00 37
1778594555.367352,1867119.059060,1867119.058168,23.871745,0x1EA,8,00 00 00 79 00 00 00 0F
1778594555.367400,1867119.059108,1867119.058169,23.871793,0x294,8,00 16 01 00 2A 44 00 0D
1778594555.367429,1867119.059137,1867119.058171,23.871822,0x1AC,8,7F FF 00 00 00 00 00 0D
1778594555.367456,1867119.059164,1867119.058172,23.871848,0x295,4,00 00 00 08
1778594555.367481,1867119.059189,1867119.058174,23.871873,0x1FB,1,3A
1778594555.367507,1867119.059215,1867119.058176,23.871899,0x221,4,21 00 00 00
1778594555.367533,1867119.059241,1867119.058177,23.871925,0x39,3,00 00 39
1778594555.367729,1867119.059438,1867119.058208,23.872122,0x255,8,0C 09 0B 09 55 55 DA 53
1778594555.367867,1867119.059575,1867119.058219,23.872259,0x305,7,80 14 00 00 00 00 21
1778594555.368133,1867119.059841,1867119.058258,23.872526,0x555,5,00 00 00 04 05
1778594555.368218,1867119.059926,1867119.058269,23.872610,0x320,8,00 00 00 00 00 00 00 21
1778594555.368246,1867119.059954,1867119.058270,23.872639,0x324,8,7E 71 42 70 00 00 80 2B
1778594555.368309,1867119.060017,1867119.058271,23.872701,0x328,8,00 00 00 00 00 80 00 5E
1778594555.368343,1867119.060051,1867119.058273,23.872735,0x3D7,8,B0 00 00 00 00 00 00 33
1778594555.545362,1867119.237070,1867119.236841,24.049755,0x91,8,99 B3 88 7E 0A 00 00 2D
1778594555.545484,1867119.237192,1867119.236853,24.049876,0x130,8,00 C3 00 C1 11 00 04 02
1778594555.545563,1867119.237272,1867119.236856,24.049956,0x158,8,04 69 00 00 04 5F 19 05
1778594555.545634,1867119.237342,1867119.236858,24.050026,0x156,6,0C 8E 00 00 07 03
1778594555.545684,1867119.237392,1867119.236860,24.050077,0x17C,8,11 00 04 F6 80 00 00 01
1778594555.545760,1867119.237468,1867119.236861,24.050152,0x191,8,08 00 80 87 88 04 7F 04
1778594555.545853,1867119.237561,1867119.236863,24.050245,0x1DC,7,02 04 F6 00 00 00 03
1778594555.545885,1867119.237593,1867119.236865,24.050277,0x1ED,3,01 FF 0D
1778594555.545921,1867119.237630,1867119.236866,24.050314,0x1AB,3,00 3D 11
1778594555.545988,1867119.237697,1867119.236870,24.050381,0x1A4,8,00 66 00 00 00 00 00 1C
1778594555.546052,1867119.237760,1867119.236871,24.050444,0x1B0,7,80 1F 00 00 00 01 12
1778594555.546106,1867119.237814,1867119.236873,24.050498,0x1D0,8,09 7E 0F E8 24 38 39 A0
1778594555.546158,1867119.237866,1867119.236875,24.050550,0x1EA,8,00 00 01 2F 00 00 00 1C
1778594555.546205,1867119.237913,1867119.236877,24.050597,0x1AC,8,7F FF 00 00 00 00 00 1C
1778594555.546233,1867119.237941,1867119.236879,24.050625,0x255,8,0C 0A 0B 09 55 55 DE 4E
1778594555.546298,1867119.238006,1867119.236881,24.050690,0x1A6,8,00 00 40 10 BF 01 00 07
1778594555.546324,1867119.238032,1867119.236883,24.050716,0x1FB,1,0D
1778594555.546348,1867119.238056,1867119.236884,24.050740,0x372,2,20 19
1778594555.546373,1867119.238082,1867119.236886,24.050766,0x309,8,00 00 00 00 04 9B 00 5F
1778594555.546434,1867119.238142,1867119.236887,24.050826,0x374,7,55 00 00 00 00 00 1F
1778594555.546495,1867119.238203,1867119.236889,24.050887,0x37B,8,30 00 00 20 00 00 00 1D
1778594555.546594,1867119.238302,1867119.236899,24.050987,0x396,7,00 00 3A 55 00 00 1E
1778594555.546757,1867119.238466,1867119.236926,24.051150,0x294,8,00 16 01 00 2A 44 00 1C
1778594555.546785,1867119.238493,1867119.236927,24.051177,0x221,4,21 00 00 1F
1778594555.546810,1867119.238518,1867119.236928,24.051202,0x295,4,00 00 00 17
1778594555.546835,1867119.238543,1867119.236930,24.051227,0x39,3,00 00 0C
1778594555.547099,1867119.238808,1867119.236975,24.051492,0x305,7,80 14 00 00 00 00 03
1778594555.730472,1867119.422181,1867119.421941,24.234865,0x91,8,9A 73 88 7A 0B 00 00 05
1778594555.730573,1867119.422281,1867119.421958,24.234965,0x130,8,00 C4 00 C3 11 00 04 2D
1778594555.730634,1867119.422343,1867119.421961,24.235027,0x158,8,04 7C 00 00 04 71 19 2B
1778594555.730695,1867119.422403,1867119.421963,24.235087,0x156,6,0C 8A 00 00 07 25
1778594555.730745,1867119.422453,1867119.421965,24.235137,0x17C,8,11 00 04 FE 80 00 00 27
1778594555.730822,1867119.422530,1867119.421966,24.235214,0x191,8,08 00 80 87 86 04 7F 24
1778594555.730901,1867119.422609,1867119.421968,24.235293,0x1DC,7,02 04 FE 00 00 00 1A
1778594555.730927,1867119.422635,1867119.421970,24.235320,0x1ED,3,01 FF 1C
1778594555.730954,1867119.422662,1867119.421971,24.235346,0x320,8,00 00 00 00 00 00 00 12
1778594555.730982,1867119.422690,1867119.421973,24.235374,0x324,8,7E 71 42 71 00 FF 80 1D
1778594555.731044,1867119.422752,1867119.421975,24.235436,0x328,8,00 00 00 00 00 80 00 4F
